doctor_id,first_name,last_name,specialization,license_number,department,years_experience,phone,email,consultation_fee
DOC0001,Samantha,Jackson,Dermatologist,LIC-810189,ENT,1,555-3316,samantha.jackson16@hospitaldocs.com,64.62
DOC0002,Pamela,Kim,Urologist,LIC-663244,Ophthalmology,6,555-5992,pamela.kim27@hospitaldocs.com,311.9
DOC0003,Raymond,Hall,Emergency Medicine Specialist,LIC-532699,Endocrinology,10,555-3637,raymond.hall24@hospitaldocs.com,127.28
DOC0004,Steven,Harris,Pediatrician,LIC-290167,Anesthesiology,4,555-9992,steven.harris60@hospitaldocs.com,275.64
DOC0005,Elizabeth,Nguyen,Orthopedic Surgeon,LIC-362865,Pediatrics,13,555-8982,elizabeth.nguyen43@hospitaldocs.com,175
DOC0006,Christine,Walker,Pediatrician,LIC-398987,ICU,5,555-4170,christine.walker41@hospitaldocs.com,220.05
DOC0007,Kevin,Ward,Dermatologist,LIC-827143,Anesthesiology,10,555-6971,kevin.ward41@hospitaldocs.com,385.53
DOC0008,Nancy,Smith,Psychiatrist,LIC-358133,General Surgery,28,555-5533,nancy.smith47@hospitaldocs.com,97.01
DOC0009,Janet,Nelson,Nephrologist,LIC-585331,Pulmonology,23,555-6004,janet.nelson63@hospitaldocs.com,243.09
DOC0010,Daniel,Cox,Orthopedic Surgeon,LIC-982683,Gynecology,9,555-9824,daniel.cox26@hospitaldocs.com,142.13
DOC0011,Benjamin,Martinez,Orthopedic Surgeon,LIC-119535,Endocrinology,2,555-7637,benjamin.martinez99@hospitaldocs.com,256.51
DOC0012,Robert,Peterson,Gynecologist,LIC-669868,Ophthalmology,31,555-3435,robert.peterson47@hospitaldocs.com,187.37
DOC0013,Jerry,Ramos,Dermatologist,LIC-240384,Pulmonology,33,555-9362,jerry.ramos12@hospitaldocs.com,188.87
DOC0014,Nicholas,Johnson,General Surgeon,LIC-989173,ICU,11,555-9423,nicholas.johnson18@hospitaldocs.com,206.18
DOC0015,Daniel,Reed,Anesthesiologist,LIC-791444,Oncology,31,555-6878,daniel.reed6@hospitaldocs.com,126.59
DOC0016,Gary,Robinson,Orthopedic Surgeon,LIC-377198,ENT,15,555-1701,gary.robinson86@hospitaldocs.com,122.37
DOC0017,George,Roberts,Nephrologist,LIC-576728,Neurology,3,555-6309,george.roberts14@hospitaldocs.com,296.31
DOC0018,Eric,Scott,Gynecologist,LIC-706739,Ophthalmology,12,555-7171,eric.scott84@hospitaldocs.com,182.48
DOC0019,Emma,Martinez,Endocrinologist,LIC-363807,Urology,15,555-9460,emma.martinez52@hospitaldocs.com,173.51
DOC0020,Brian,Morales,Nephrologist,LIC-733561,Cardiology,33,555-3276,brian.morales57@hospitaldocs.com,107.96
DOC0021,Elizabeth,Rogers,Gynecologist,LIC-321791,Oncology,12,555-3578,elizabeth.rogers47@hospitaldocs.com,260.71
DOC0022,Jessica,Robinson,Gastroenterologist,LIC-950576,Psychiatry,8,555-8889,jessica.robinson87@hospitaldocs.com,217.59
DOC0023,Anthony,Ramos,Radiologist,LIC-778700,Gastroenterology,2,555-4992,anthony.ramos6@hospitaldocs.com,94.76
DOC0024,Emma,Lee,Oncologist,LIC-760120,Endocrinology,3,555-3406,emma.lee8@hospitaldocs.com,108.22
DOC0025,Lisa,Gutierrez,Urologist,LIC-728471,Anesthesiology,2,555-5644,lisa.gutierrez11@hospitaldocs.com,125.81
DOC0026,Nicole,Stewart,Nephrologist,LIC-278852,General Surgery,27,555-3338,nicole.stewart75@hospitaldocs.com,337.16
DOC0027,Lisa,Richardson,Endocrinologist,LIC-377370,Radiology,22,555-8429,lisa.richardson77@hospitaldocs.com,256.71
DOC0028,Sandra,Carter,Urologist,LIC-238635,Pediatrics,2,555-4315,sandra.carter67@hospitaldocs.com,350.86
DOC0029,Nicholas,Turner,Oncologist,LIC-734924,Pediatrics,12,555-8796,nicholas.turner79@hospitaldocs.com,259.93
DOC0030,Jonathan,Cook,Pediatrician,LIC-197716,Nephrology,9,555-9835,jonathan.cook1@hospitaldocs.com,363.94
DOC0031,Diane,Parker,Endocrinologist,LIC-541119,ENT,3,555-9680,diane.parker55@hospitaldocs.com,130.32
DOC0032,Kathleen,Carter,ENT Specialist,LIC-717661,Anesthesiology,7,555-7971,kathleen.carter18@hospitaldocs.com,139.08
DOC0033,Jerry,Robinson,Orthopedic Surgeon,LIC-397026,ICU,35,555-7695,jerry.robinson33@hospitaldocs.com,116.16
DOC0034,Patrick,Smith,Anesthesiologist,LIC-647923,Pediatrics,34,555-1117,patrick.smith49@hospitaldocs.com,279.09
DOC0035,Frank,Green,Gastroenterologist,LIC-479867,Pediatrics,10,555-7980,frank.green84@hospitaldocs.com,254.88
DOC0036,Kimberly,Morgan,Gastroenterologist,LIC-692099,ENT,18,555-7511,kimberly.morgan97@hospitaldocs.com,121.29
DOC0037,Stephen,Bailey,Nephrologist,LIC-287401,ENT,31,555-5157,stephen.bailey40@hospitaldocs.com,252.18
DOC0038,Diane,Gomez,Oncologist,LIC-996531,Pediatrics,15,555-8317,diane.gomez90@hospitaldocs.com,382.24
DOC0039,Richard,Ramirez,Endocrinologist,LIC-520018,Psychiatry,4,555-3633,richard.ramirez50@hospitaldocs.com,387.6
DOC0040,James,Lopez,Oncologist,LIC-594580,ICU,28,555-2444,james.lopez9@hospitaldocs.com,142.08
DOC0041,Melissa,Hernandez,Intensivist,LIC-139589,Urology,26,555-9536,melissa.hernandez37@hospitaldocs.com,299.06
DOC0042,Scott,Davis,Radiologist,LIC-771394,Nephrology,29,555-1175,scott.davis26@hospitaldocs.com,347.7
DOC0043,Eric,Torres,Emergency Medicine Specialist,LIC-135241,ICU,33,555-9451,eric.torres90@hospitaldocs.com,131.08
DOC0044,Nancy,Jones,ENT Specialist,LIC-350878,Cardiology,11,555-2422,nancy.jones36@hospitaldocs.com,322.89
DOC0045,Amanda,Gomez,Urologist,LIC-714549,Emergency,34,555-1251,amanda.gomez95@hospitaldocs.com,296.27
DOC0046,Barbara,Peterson,Dermatologist,LIC-861411,Ophthalmology,23,555-6693,barbara.peterson36@hospitaldocs.com,129.2
DOC0047,Matthew,Collins,Urologist,LIC-702833,Cardiology,17,555-3867,matthew.collins53@hospitaldocs.com,227.18
DOC0048,Brenda,Martinez,Endocrinologist,LIC-408545,Psychiatry,8,555-9409,brenda.martinez33@hospitaldocs.com,356.64
DOC0049,Pamela,Allen,Pulmonologist,LIC-495397,Anesthesiology,31,555-4985,pamela.allen97@hospitaldocs.com,168.88
DOC0050,Diane,Collins,Pulmonologist,LIC-715332,Cardiology,31,555-2904,diane.collins34@hospitaldocs.com,73.64
DOC0051,Samantha,Lewis,General Surgeon,LIC-939030,Psychiatry,27,555-6785,samantha.lewis67@hospitaldocs.com,237.48
DOC0052,Rachel,King,General Surgeon,LIC-401244,Orthopedics,26,555-6603,rachel.king10@hospitaldocs.com,244.09
DOC0053,Daniel,Stewart,Psychiatrist,LIC-470711,Emergency,18,555-3994,daniel.stewart96@hospitaldocs.com,289.09
DOC0054,Matthew,Murphy,Emergency Medicine Specialist,LIC-346269,General Surgery,17,555-4387,matthew.murphy30@hospitaldocs.com,120.97
DOC0055,Ashley,Richardson,ENT Specialist,LIC-263573,Pediatrics,8,555-2285,ashley.richardson87@hospitaldocs.com,384.52
DOC0056,Amy,Ward,Cardiologist,LIC-901368,Ophthalmology,3,555-8901,amy.ward48@hospitaldocs.com,267.23
DOC0057,Amy,Kelly,Gynecologist,LIC-614646,Radiology,33,555-5591,amy.kelly51@hospitaldocs.com,127.73
DOC0058,Pamela,Taylor,Neurologist,LIC-651273,Gastroenterology,31,555-9859,pamela.taylor5@hospitaldocs.com,225.87
DOC0059,Ronald,Thompson,Pulmonologist,LIC-226215,Endocrinology,30,555-6171,ronald.thompson89@hospitaldocs.com,52.95
DOC0060,Alexander,Clark,Urologist,LIC-709231,Pediatrics,21,555-6924,alexander.clark79@hospitaldocs.com,351.64
DOC0061,Lisa,Peterson,Gynecologist,LIC-348658,Gynecology,31,555-6621,lisa.peterson47@hospitaldocs.com,114.37
DOC0062,Jason,Clark,Gastroenterologist,LIC-834750,ENT,24,555-7563,jason.clark36@hospitaldocs.com,207.76
DOC0063,Pamela,Taylor,Anesthesiologist,LIC-819335,General Surgery,7,555-5422,pamela.taylor31@hospitaldocs.com,244.37
DOC0064,Edward,Sanchez,Oncologist,LIC-938900,Oncology,31,555-1159,edward.sanchez23@hospitaldocs.com,197.53
DOC0065,Sarah,Gutierrez,Ophthalmologist,LIC-855562,Psychiatry,32,555-5915,sarah.gutierrez33@hospitaldocs.com,246.75
DOC0066,Larry,Miller,Urologist,LIC-203782,Radiology,4,555-4530,larry.miller33@hospitaldocs.com,216.79
DOC0067,Benjamin,Gonzalez,Pulmonologist,LIC-880762,Psychiatry,17,555-6914,benjamin.gonzalez47@hospitaldocs.com,246.12
DOC0068,Steven,Hall,Cardiologist,LIC-531762,Pediatrics,23,555-4259,steven.hall74@hospitaldocs.com,251.56
DOC0069,Katherine,Morgan,Radiologist,LIC-918213,Dermatology,23,555-6326,katherine.morgan87@hospitaldocs.com,228.66
DOC0070,Diane,Edwards,Orthopedic Surgeon,LIC-499581,ICU,19,555-8598,diane.edwards81@hospitaldocs.com,384.81
DOC0071,Nancy,Baker,Gastroenterologist,LIC-761938,ICU,26,555-2168,nancy.baker11@hospitaldocs.com,106.7
DOC0072,Sandra,Green,Psychiatrist,LIC-784733,Dermatology,18,555-7479,sandra.green35@hospitaldocs.com,360.69
DOC0073,Diane,Campbell,Anesthesiologist,LIC-646240,Pulmonology,27,555-3741,diane.campbell24@hospitaldocs.com,348.97
DOC0074,Thomas,Walker,Gynecologist,LIC-880009,Orthopedics,14,555-3734,thomas.walker51@hospitaldocs.com,86.05
DOC0075,William,Stewart,Ophthalmologist,LIC-156440,Cardiology,26,555-9584,william.stewart98@hospitaldocs.com,398.6
DOC0076,Susan,King,Intensivist,LIC-262816,Orthopedics,25,555-6068,susan.king30@hospitaldocs.com,136.59
DOC0077,Andrew,Cruz,Oncologist,LIC-237654,Endocrinology,11,555-1468,andrew.cruz5@hospitaldocs.com,282.24
DOC0078,Dorothy,Stewart,Pulmonologist,LIC-666843,Gynecology,29,555-3213,dorothy.stewart90@hospitaldocs.com,238.75
DOC0079,Emma,Kim,Pulmonologist,LIC-761701,Anesthesiology,28,555-9576,emma.kim82@hospitaldocs.com,273.83
DOC0080,Michelle,Hall,Nephrologist,LIC-665883,General Surgery,6,555-8239,michelle.hall40@hospitaldocs.com,178.02
DOC0081,Kimberly,Martin,Dermatologist,LIC-111068,Cardiology,34,555-3233,kimberly.martin45@hospitaldocs.com,150.37
DOC0082,Jonathan,Johnson,Nephrologist,LIC-892170,Nephrology,20,555-1149,jonathan.johnson99@hospitaldocs.com,200.65
DOC0083,Donna,Kim,General Surgeon,LIC-935471,Cardiology,24,555-4089,donna.kim53@hospitaldocs.com,358.76
DOC0084,Sharon,Gomez,General Surgeon,LIC-271200,Urology,25,555-4614,sharon.gomez34@hospitaldocs.com,77.72
DOC0085,Benjamin,Walker,Endocrinologist,LIC-901676,ICU,18,555-5664,benjamin.walker84@hospitaldocs.com,310.02
DOC0086,Paul,Evans,Emergency Medicine Specialist,LIC-994940,Orthopedics,12,555-3238,paul.evans38@hospitaldocs.com,88.62
DOC0087,Ryan,Richardson,Pulmonologist,LIC-385353,ICU,32,555-4076,ryan.richardson42@hospitaldocs.com,56.79
